10.2.90.58,6416-8d3a-b10d,13,D-16,VE16/0/0.3518,600236,3518,CMI1-600236-3605-0405,EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260053,ping -vpn-instance 600236 -c 3 -m 100 -t 300 -q 10.2.90.58
10.2.208.6,d4ca-6d0b-5dc6,11,D-16,VE16/0/0.210,600366,210,CMI1-600366-0859-0000,EXTERNAL-FULLMESH-SPOKE-600366-IPV1790002,ping -vpn-instance 600366 -c 3 -m 100 -t 300 -q 10.2.208.6
10.2.208.5,80d4-a5ab-a0c4,I,-,VE16/0/0.210,600366,210,CMI1-600366-0859-0000,EXTERNAL-FULLMESH-SPOKE-600366-IPV1790002,ping -vpn-instance 600366 -c 3 -m 100 -t 300 -q 10.2.208.5
10.2.235.18,001b-d53d-6385,11,D-16,VE16/0/0.262,600415,262,CMI1-600415-2878-0000,EXTERNAL-FULLMESH-SPOKE-600415-IPV2670006,ping -vpn-instance 600415 -c 3 -m 100 -t 300 -q 10.2.235.18
10.2.235.17,80d4-a5ab-a0c4,I,-,VE16/0/0.262,600415,262,CMI1-600415-2878-0000,EXTERNAL-FULLMESH-SPOKE-600415-IPV2670006,ping -vpn-instance 600415 -c 3 -m 100 -t 300 -q 10.2.235.17
10.4.128.165,80d4-a5ab-a0c4,I,-,VE16/0/0.379,600510,379,CMI1-600510-0891-0000,EXTERNAL-FULLMESH-SPOKE-600510-IPV0500550,ping -vpn-instance 600510 -c 3 -m 100 -t 300 -q 10.4.128.165
10.4.128.166,2c54-2d63-f6e1,11,D-16,VE16/0/0.379,600510,379,CMI1-600510-0891-0000,EXTERNAL-FULLMESH-SPOKE-600510-IPV0500550,ping -vpn-instance 600510 -c 3 -m 100 -t 300 -q 10.4.128.166
10.4.72.18,0009-0f09-0015,1,D-16,VE16/0/0.341,600592,341,CMI1-600592-0912-0000,EXTERNAL-FULLMESH-SPOKE-600592-IPV1400015,ping -vpn-instance 600592 -c 3 -m 100 -t 300 -q 10.4.72.18
10.4.72.17,80d4-a5ab-a0c4,I,-,VE16/0/0.341,600592,341,CMI1-600592-0912-0000,EXTERNAL-FULLMESH-SPOKE-600592-IPV1400015,ping -vpn-instance 600592 -c 3 -m 100 -t 300 -q 10.4.72.17
172.30.2.90,f8a0-3d18-6507,11,D-16,VE16/0/0.3018,600612,3018,CMI1-600612-3000-3018,EXTERNAL-FULLMESH-SPOKE-600612-IAD2340020,ping -vpn-instance 600612 -c 3 -m 100 -t 300 -q 172.30.2.90
172.30.2.89,80d4-a5ab-a0c4,I,-,VE16/0/0.3018,600612,3018,CMI1-600612-3000-3018,EXTERNAL-FULLMESH-SPOKE-600612-IAD2340020,ping -vpn-instance 600612 -c 3 -m 100 -t 300 -q 172.30.2.89
172.21.4.69,80d4-a5ab-a0c4,I,-,VE16/0/0.3561,610027,3561,CMI1-610027-3561-0326,EXTERNAL-FULLMESH-SPOKE-610027-IPV1160088,ping -vpn-instance 610027 -c 3 -m 100 -t 300 -q 172.21.4.69
172.21.4.70,28c7-cea7-dd87,13,D-16,VE16/0/0.3561,610027,3561,CMI1-610027-3561-0326,EXTERNAL-FULLMESH-SPOKE-610027-IPV1160088,ping -vpn-instance 610027 -c 3 -m 100 -t 300 -q 172.21.4.70
192.168.19.5,80d4-a5ab-a0c4,I,-,VE16/0/0.170,610066,170,CMI1-610066-0896-0000,EXTERNAL-FULLMESH-SPOKE-610066-IPV1590002,ping -vpn-instance 610066 -c 3 -m 100 -t 300 -q 192.168.19.5
192.168.19.6,38ed-18b5-7d47,12,D-16,VE16/0/0.170,610066,170,CMI1-610066-0896-0000,EXTERNAL-FULLMESH-SPOKE-610066-IPV1590002,ping -vpn-instance 610066 -c 3 -m 100 -t 300 -q 192.168.19.6
192.168.250.226,0462-735e-b101,11,D-16,VE16/0/0.327,LL-INTER,327,CMI1-LL-INTER-0962-0000,EXTERNAL-FULLMESH-SPOKE-LL-INTER-INL2600022,ping -vpn-instance LL-INTER -c 3 -m 100 -t 300 -q 192.168.250.226
192.168.250.225,80d4-a5ab-a0c4,I,-,VE16/0/0.327,LL-INTER,327,CMI1-LL-INTER-0962-0000,EXTERNAL-FULLMESH-SPOKE-LL-INTER-INL2600022,ping -vpn-instance LL-INTER -c 3 -m 100 -t 300 -q 192.168.250.225
