<MP-CMI-NE>dis int des
PHY: Physical
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(E): E-Trunk down
(b): BFD down
(B): Bit-error-detection down
(e): ETHOAM down
(d): Dampening Suppressed
(p): port alarm down
(ld): loop-detect trigger down
Interface                     PHY     Protocol Description                     
VE4/0/0.3053                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350099
VE4/0/0.3054                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350092
VE4/0/0.3055                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350090
VE4/0/0.3056                  up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV2350091
VE4/0/0.3057                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500484
VE4/0/0.3058                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500557
VE4/0/0.3059                  up      up       EXTERNAL-FULLMESH-SPOKE-600649-IPVB2750005
VE4/0/0.3060                  up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB2750005
VE4/0/0.3061                  up      up       EXTERNAL-FULLMESH-SPOKE-600649-IPV2750021
VE4/0/0.3062                  up      up       EXTERNAL-FULLMESH-SPOKE-600649-IPV2750012
VE4/0/0.3063                  up      up       EXTERNAL-FULLMESH-SPOKE-600367-IPV1800099
VE4/0/0.3064                  up      up       EXTERNAL-FULLMESH-SPOKE-600649-IPV2750013
VE4/0/0.3065                  up      up       EXTERNAL-FULLMESH-SPOKE-600649-IPV2750014
VE4/0/0.3501                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500069
VE4/0/0.3502                  up      down     INTERNAL-FULLMESH-SPOKE-2020-IPVI500012
VE4/0/0.3506                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500045
VE4/0/0.3507                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500067
VE4/0/0.3508                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500022
VE4/0/0.3510                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500026
VE4/0/0.3512                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500015
VE4/0/0.3517                  up      down     EXTERNAL-FULLMESH-SPOKE-600042-IPV0500077
VE4/0/0.3535                  up      up       EXTERNAL-FULLMESH-SPOKE-610019-IPV0500172
VE4/0/0.3536                  up      up       EXTERNAL-FULLMESH-SPOKE-610019-IPV0500210
VE4/0/0.3540                  up      down     EXTERNAL-FULLMESH-SPOKE-600237-IPV0500319
VE4/0/0.3556                  up      up       EXTERNAL-FULLMESH-SPOKE-610027-IPV1160063
VE4/0/0.3558                  up      up       EXTERNAL-FULLMESH-SPOKE-600263-IPV1250075
VE4/0/0.3560                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260064
VE4/0/0.3562                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260095
VE4/0/0.3564                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260115
VE4/0/0.3565                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260127
VE4/0/0.3566                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260129
VE4/0/0.3567                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260130
VE4/0/0.3568                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260131
VE4/0/0.3569                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260136
VE4/0/0.3570                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260137
VE4/0/0.3571                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260163
VE4/0/0.3572                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260164
VE4/0/0.3573                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260166
VE4/0/0.3574                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260157
VE4/0/0.3577                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500096
VE4/0/0.3578                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260195
VE4/0/0.3579                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260199
VE4/0/0.3580                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500095
VE4/0/0.3582                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500109
VE4/0/0.3585                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500093
VE4/0/0.3596                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500106
VE4/0/0.3605                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260393
VE4/0/0.3606                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260394
VE4/0/0.3614                  up      up       EXTERNAL-FULLMESH-SPOKE-600300-IPV1430071
VE4/0/0.3615                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260425
VE4/0/0.3616                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260436
VE4/0/0.3617                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600309-IPV1490308
VE4/0/0.3622                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600309-IPV1490299
VE4/0/0.3623                  up      up       EXTERNAL-FULLMESH-SPOKE-610027-IPV1160235
VE4/0/0.3624                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600309-IPV1490312
VE4/0/0.3625                  up      up       EXTERNAL-FULLMESH-SPOKE-600263-IPV1250231
VE4/0/0.3629                  down    down     EXTERNAL-FULLMESH-SPOKE-600263-IPV1250289
VE4/0/0.3632                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600309-IPV1490827
VE4/0/0.3633                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600309-IPV1490829
VE4/0/0.3634                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600309-IPV1490830
VE4/0/0.3635                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600309-IPV1490499
VE4/0/0.3636                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600309-IPV1490495
VE4/0/0.3637                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600309-IPV1490496
VE4/0/0.3638                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600309-IPV1490501
VE4/0/0.3642                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600309-IPV1490505
VE4/0/0.3643                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600309-IPV1490520
VE4/0/0.3644                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600309-IPV1490521
VE4/0/0.3645                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600309-IPV1490529
VE4/0/0.3646                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600309-IPV1490530
VE4/0/0.3648                  up      up       EXTERNAL-FULLMESH-SPOKE-610027-IPV1160292
VE4/0/0.3649                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260540
VE4/0/0.3650                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260554
VE4/0/0.3652                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260557
VE4/0/0.3653                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260558
VE4/0/0.3654                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260559
VE4/0/0.3655                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260565
VE4/0/0.3656                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260568
VE4/0/0.3658                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600309-IPV1490946
VE4/0/0.3659                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600309-IPV1490949
VE4/0/0.3660                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600309-IPV1490944
VE4/0/0.3661                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600309-IPV1490945
VE4/0/0.3662                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600309-IPV1490948
VE4/0/0.3663                  up      up       EXTERNAL-FULLMESH-SPOKE-610027-IPV1160344
VE4/0/0.3664                  up      up       EXTERNAL-FULLMESH-SPOKE-610027-IPV1160335
VE4/0/0.3666                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260742
VE4/0/0.3670                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600309-IPV1491165
VE4/0/0.3671                  up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500115
VE4/0/0.3672                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260814
VE4/0/0.3676                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260872
VE4/0/0.3679                  up      up       EXTERNAL-FULLMESH-SPOKE-600335-IPV1630011
VE4/0/0.3683                  up      up       EXTERNAL-FULLMESH-SPOKE-600367-IPV1800019
VE4/0/0.3691                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600309-IPV1490313
VE4/0/0.3692                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1260981
VE4/0/0.3696                  up      up       EXTERNAL-FULLMESH-SPOKE-610027-IPV1160518
VE4/0/0.3697                  up      up       EXTERNAL-FULLMESH-SPOKE-610027-IPV1160663
VE4/0/0.3698                  up      up       EXTERNAL-FULLMESH-SPOKE-610027-IPV1160456
VE4/0/0.3700                  up      up       EXTERNAL-FULLMESH-SPOKE-610027-IPV1160546
VE4/0/0.3701                  up      up       EXTERNAL-FULLMESH-SPOKE-610027-IPV1160661
VE4/0/0.3702                  up      up       EXTERNAL-FULLMESH-SPOKE-610027-IPV1160662
VE4/0/0.3703                  up      up       EXTERNAL-FULLMESH-SPOKE-610027-IPV1160660
VE4/0/0.3704                  up      up       EXTERNAL-FULLMESH-SPOKE-610027-IPV1160545
VE4/0/0.3705                  up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPV2050019
VE4/0/0.3706                  up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPV2050022
VE4/0/0.3707                  up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPV2050012
VE4/0/0.3709                  up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPV2050036
VE4/0/0.3710                  up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPV2050020
VE4/0/0.3711                  up      up       EXTERNAL-FULLMESH-SPOKE-600533-IPV2050038
VE4/0/0.3712                  down    down     EXTERNAL-FULLMESH-SPOKE-600533-IPV2050016
VE4/0/0.3713                  up      up       EXTERNAL-FULLMESH-SPOKE-600375-IPV0500452
VE4/0/0.3714                  up      up       EXTERNAL-FULLMESH-SPOKE-600375-IPV0500453
VE4/0/0.3715                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1261060
VE4/0/0.3716                  up      up       EXTERNAL-FULLMESH-SPOKE-600367-IPV1800052
VE4/0/0.3717                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1261127
VE4/0/0.3719                  up      up       EXTERNAL-HUBSPOKE-SPOKE-600236-IPV1261137
VE4/0/1                       up      down     VIR-L2-CMI2&LPN                 
VE4/0/1.1                     up      up       INTERNAL-HUBSPOKE-SPOKE-1002-IPTV-VOD-CMI
VE4/0/1.2                     up      up       INTERNAL-HUBSPOKE-SPOKE-1002-IPTV-VOD-LPN
VE4/0/1.3                     up      up       INTERNAL-HUBSPOKE-SPOKE-1005-REPEATER-CMI2
VE4/0/1.4                     up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MME-LPN_1
VE4/0/1.5                     up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MME-MHN
VE4/0/1.6                     up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-LPN-1
VE4/0/1.7                     up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-IP-DSLAM
VE4/0/1.8                     up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-IP-DSLAM-4001-38-2
VE4/0/1.9                     up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-IP-DSLAM-4001-38-3
VE4/0/1.10                    up      up                                       
VE4/0/1.11                    up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-0014
VE4/0/1.12                    up      up       INTERNAL-HUBSPOKE-SPOKE-1014-GW-VOICE-CMI-MAHIDOL
VE4/0/1.13                    up      up       INTERNAL-HUBSPOKE-SPOKE-1014-IAD0500003
VE4/0/1.14                    up      up       INTERNAL-HUBSPOKE-SPOKE-1014-IAD0500005
VE4/0/1.15                    up      up       INTERNAL-HUBSPOKE-SPOKE-1014-VoADSL-CMI
VE4/0/1.16                    up      up       INTERNAL-HUBSPOKE-SPOKE-1015-Cus-Sw-CMI3
VE4/0/1.17                    up      up       INTERNAL-HUBSPOKE-SPOKE-1015-Cus-Sw-LPN
VE4/0/1.18                    up      up       INTERNAL-HUBSPOKE-SPOKE-1015-SW-MNS-TRANSPORT
VE4/0/1.20                    up      up       INTERNAL-FULLMESH-SPOKE-1035-GW-CMI3
VE4/0/1.21                    up      up       INTERNAL-FULLMESH-SPOKE-1035-GW-CMI3-2
VE4/0/1.22                    up      up       INTERNAL-HUBSPOKE-SPOKE-1014-GW-VoADSL-LPN
VE4/0/1.23                    up      up       INTERNAL-FULLMESH-SPOKE-1035-GW-LPN
VE4/0/1.24                    up      up       INTERNAL-FULLMESH-SPOKE-1035-IPVI500059
VE4/0/1.25                    up      up       INTERNAL-FULLMESH-SPOKE-1035-IPVI500075
VE4/0/1.27                    up      up       INTERNAL-FULLMESH-SPOKE-1072-GW-VoIP-MANAGEMENT-CMI
VE4/0/1.28                    up      up       INTERNAL-FULLMESH-SPOKE-1072-GW-VoIP-MEDIA-CMI
VE4/0/1.29                    up      up       INTERNAL-FULLMESH-SPOKE-1072-GW-VoIP-MEDIA-LPN
VE4/0/1.30                    up      up       INTERNAL-FULLMESH-SPOKE-1072-GW-VoIP-SIGNALING-CMI
VE4/0/1.31                    up      up       INTERNAL-FULLMESH-SPOKE-1072-GW-VoIP-SIGNALING-LPN
VE4/0/1.32                    up      up       INTERNAL-HUBSPOKE-SPOKE-1082-RECTIFIER_CMI2
VE4/0/1.33                    up      up       INTERNAL-HUBSPOKE-SPOKE-1084-OLT-LPN
VE4/0/1.34                    up      up       INTERNAL-HUBSPOKE-SPOKE-1084-OSU-LPN
VE4/0/1.35                    up      up       INTERNAL-HUBSPOKE-SPOKE-1084-OTDR-LPN
VE4/0/1.36                    up      up       INTERNAL-HUBSPOKE-SPOKE-1086-MNG-AP-CMI3
VE4/0/1.37                    up      up       INTERNAL-HUBSPOKE-SPOKE-1086-MNG-AP-LPN
VE4/0/1.38                    up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500072
VE4/0/1.39                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500009
VE4/0/1.40                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500013
VE4/0/1.41                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151114
VE4/0/1.44                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500033
VE4/0/1.46                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500046
VE4/0/1.47                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500061
VE4/0/1.48                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151106
VE4/0/1.49                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151106
VE4/0/1.52                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151114
VE4/0/1.56                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500102
VE4/0/1.57                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151119
VE4/0/1.58                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151119
VE4/0/1.59                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500470
VE4/0/1.60                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILLI500013
VE4/0/1.62                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILLI500028
VE4/0/1.65                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151121
VE4/0/1.66                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151121
VE4/0/1.67                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500542
VE4/0/1.68                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500034
VE4/0/1.69                    up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500069
VE4/0/1.70                    up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500073
VE4/0/1.71                    up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500082
VE4/0/1.72                    up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500083
VE4/0/1.73                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151122
VE4/0/1.74                    up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500306
VE4/0/1.75                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151122
VE4/0/1.76                    up      up       EXTERNAL-FULLMESH-SPOKE-600042-Test_IPV0500082
VE4/0/1.77                    up      up       EXTERNAL-FULLMESH-SPOKE-600042-Test_IPV0500082_to_branch
VE4/0/1.78                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151126
VE4/0/1.79                    up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPVB0500067
VE4/0/1.80                    up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPVB0500082
VE4/0/1.81                    up      up       EXTERNAL-FULLMESH-SPOKE-600144-IPV0500177
VE4/0/1.82                    up      up       EXTERNAL-FULLMESH-SPOKE-600155-IPV0500193
VE4/0/1.83                    up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPVB0500306
VE4/0/1.84                    up      up       EXTERNAL-FULLMESH-SPOKE-600175-IPV0500208
VE4/0/1.85                    up      up       INTERNAL-HUBSPOKE-SPOKE-1014-IAD0500484
VE4/0/1.86                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151348
VE4/0/1.87                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151348
VE4/0/1.88                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500527
VE4/0/1.91                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151126
VE4/0/1.92                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151128
VE4/0/1.93                    up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151128
VE4/0/1.94                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500069
VE4/0/1.95                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500123
VE4/0/1.98                    up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILLI500034
VE4/0/1.99                    up      up       INTERNAL-FULLMESH-SPOKE-1035-IPVI500081
VE4/0/1.100                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500127
VE4/0/1.101                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151129
VE4/0/1.102                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILLI500035
VE4/0/1.103                   up      up       INTERNAL-FULLMESH-SPOKE-1035-IPVI500082
VE4/0/1.104                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151129
VE4/0/1.106                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500137
VE4/0/1.107                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILLI500036
VE4/0/1.108                   up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPVB0500083
VE4/0/1.109                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500526
VE4/0/1.110                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500145
VE4/0/1.111                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151123
VE4/0/1.112                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLI500040
VE4/0/1.113                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151123
VE4/0/1.118                   up      up       EXTERNAL-FULLMESH-SPOKE-600265-IPV0500165
VE4/0/1.119                   up      up       INTERNAL-HUBSPOKE-SPOKE-1084-MNG-Fttx-CMI2
VE4/0/1.122                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500158
VE4/0/1.123                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500161
VE4/0/1.124                   up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-IP-DSLAM-4001-38-4
VE4/0/1.126                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500480
VE4/0/1.128                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500184
VE4/0/1.129                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB500184
VE4/0/1.130                   up      up       INTERNAL-HUBSPOKE-SPOKE-1014-IAD0500009
VE4/0/1.133                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500102
VE4/0/1.134                   up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500071
VE4/0/1.135                   up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500067
VE4/0/1.136                   up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPV0500360
VE4/0/1.137                   up      up       INTERNAL-HUBSPOKE-SPOKE-1014-IAD0500010
VE4/0/1.138                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500484
VE4/0/1.139                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-BINL0500486
VE4/0/1.140                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500557
VE4/0/1.141                   up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-LPN-2
VE4/0/1.142                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILLB0500127
VE4/0/1.143                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500200
VE4/0/1.149                   up      up       EXTERNAL-HUBSPOKE-SPOKE-600081-INLS0500441
VE4/0/1.150                   up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420104
VE4/0/1.151                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500202
VE4/0/1.154                   up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420150
VE4/0/1.155                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1150479
VE4/0/1.156                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1150479
VE4/0/1.157                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1150525
VE4/0/1.158                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1150525
VE4/0/1.159                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1150514
VE4/0/1.160                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1150514
VE4/0/1.161                   up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420216
VE4/0/1.162                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500062
VE4/0/1.163                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1150588
VE4/0/1.164                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1150588
VE4/0/1.165                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1150589
VE4/0/1.166                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1150589
VE4/0/1.172                   up      up       EXTERNAL-FULLMESH-SPOKE-600362-IPV0500421
VE4/0/1.174                   up      up       EXTERNAL-FULLMESH-SPOKE-600375-IPV0500423
VE4/0/1.175                   up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420309
VE4/0/1.176                   up      up       INTERNAL-HUBSPOKE-SPOKE-1014-IAD0500209
VE4/0/1.177                   up      up       EXTERNAL-HUBSPOKE-SPOKE-1097-SIT0500209
VE4/0/1.178                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500209
VE4/0/1.179                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500209
VE4/0/1.180                   up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420346
VE4/0/1.181                   up      up       INTERNAL-FULLMESH-SPOKE-2020-IPVI500038
VE4/0/1.182                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500215
VE4/0/1.183                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500158
VE4/0/1.184                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500216
VE4/0/1.187                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLC0500062
VE4/0/1.189                   up      up       EXTERNAL-FULLMESH-SPOKE-600384-IPV1901016
VE4/0/1.191                   up      up       EXTERNAL-FULLMESH-SPOKE-600384-IPV1901031
VE4/0/1.192                   up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-DSLAM-CMI2-0003
VE4/0/1.195                   up      up       EXTERNAL-FULLMESH-SPOKE-600314-IPV1420443
VE4/0/1.198                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500033
VE4/0/1.199                   up      up       EXTERNAL-HUBSPOKE-SPOKE-600421-IPV19908613
VE4/0/1.200                   up      up       EXTERNAL-HUBSPOKE-SPOKE-600421-IPV19908084
VE4/0/1.201                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500227
VE4/0/1.202                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500228
VE4/0/1.203                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500228
VE4/0/1.204                   up      up       EXTERNAL-HUBSPOKE-SPOKE-600421-IPV19905066
VE4/0/1.205                   up      up       EXTERNAL-FULLMESH-SPOKE-600436-IPV2020006
VE4/0/1.206                   up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPVB0500069
VE4/0/1.207                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500231
VE4/0/1.208                   up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670009
VE4/0/1.209                   up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670010
VE4/0/1.210                   up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670011
VE4/0/1.211                   up      up       EXTERNAL-FULLMESH-SPOKE-600415-IPV2670012
VE4/0/1.213                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500232
VE4/0/1.214                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500448
VE4/0/1.215                   up      up       EXTERNAL-FULLMESH-SPOKE-600543-IPV0500448
VE4/0/1.216                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500449
VE4/0/1.217                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500449
VE4/0/1.218                   up      up       INTERNAL-HUBSPOKE-SPOKE-1005-MNG-ME-FTTx-0054
VE4/0/1.219                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLB0500235
VE4/0/1.220                   up      up       EXTERNAL-FULLMESH-SPOKE-600556-IPV2140027
VE4/0/1.221                   up      up       EXTERNAL-FULLMESH-SPOKE-600556-IPV2140110
VE4/0/1.222                   up      up       EXTERNAL-FULLMESH-SPOKE-600556-IPV2140120
