<MP-CMI-NE>dis int des
PHY: Physical
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(E): E-Trunk down
(b): BFD down
(B): Bit-error-detection down
(e): ETHOAM down
(d): Dampening Suppressed
(p): port alarm down
(ld): loop-detect trigger down
Interface                     PHY     Protocol Description                     
Eth-Trunk33.656               up      up       CMI2-HSI-0656                   
Eth-Trunk33.657               up      up       CMI2-HSI-0657                   
Eth-Trunk33.658               up      up       CMI2-HSI-0658                   
Eth-Trunk33.659               up      up       CMI2-HSI-0659                   
Eth-Trunk33.660               up      up       CMI2-HSI-0660                   
Eth-Trunk33.661               up      up       CMI2-HSI-0661                   
Eth-Trunk33.662               up      up       CMI2-HSI-0662                   
Eth-Trunk33.663               up      up       CMI2-HSI-0663                   
Eth-Trunk33.665               up      up       CMI2-HSI-0665                   
Eth-Trunk33.666               up      up       CMI2-HSI-0666                   
Eth-Trunk33.667               up      up       MHN-HSI-0667                    
Eth-Trunk33.668               up      up       MHN-HSI-0668                    
Eth-Trunk33.676               up      up       CMI2-HSI-0676                   
Eth-Trunk34                   up      down     BS-CMIBS07_ETH-4[100G]_PC       
Eth-Trunk34.4                 up      down     INTERNAL-INTERNET-NAT444-IPv6   
Eth-Trunk34.6                 up      down     INTERNAL-INTERNET-ADSL-IPv6     
Eth-Trunk34.41                up      up       VPRN-INTERNAL-3BB-ADSL          
Eth-Trunk34.43                up      up       VPRN-INTERNAL-3BB-NAT444        
Eth-Trunk34.654               up      up       CMI2-HSI-0654                   
Eth-Trunk34.655               up      up       CMI2-HSI-0655                   
Eth-Trunk34.656               up      up       CMI2-HSI-0656                   
Eth-Trunk34.657               up      up       CMI2-HSI-0657                   
Eth-Trunk34.658               up      up       CMI2-HSI-0658                   
Eth-Trunk34.659               up      up       CMI2-HSI-0659                   
Eth-Trunk34.660               up      up       CMI2-HSI-0660                   
Eth-Trunk34.661               up      up       CMI2-HSI-0661                   
Eth-Trunk34.662               up      up       CMI2-HSI-0662                   
Eth-Trunk34.663               up      up       CMI2-HSI-0663                   
Eth-Trunk34.665               up      up       CMI2-HSI-0665                   
Eth-Trunk34.666               up      up       CMI2-HSI-0666                   
Eth-Trunk34.667               up      up       MHN-HSI-0667                    
Eth-Trunk34.668               up      up       MHN-HSI-0668                    
Eth-Trunk34.676               up      up       CMI2-HSI-0676                   
Eth-Trunk35                   up      down     BS-CMIBS07(LPN)_ETH-5[80G]_PC   
Eth-Trunk35.654               up      up       CMI2-HSI-0654                   
Eth-Trunk35.655               up      up       CMI2-HSI-0655                   
Eth-Trunk35.656               up      up       CMI2-HSI-0656                   
Eth-Trunk35.657               up      up       CMI2-HSI-0657                   
Eth-Trunk35.658               up      up       CMI2-HSI-0658                   
Eth-Trunk35.659               up      up       CMI2-HSI-0659                   
Eth-Trunk35.660               up      up       CMI2-HSI-0660                   
Eth-Trunk35.661               up      up       CMI2-HSI-0661                   
Eth-Trunk35.662               up      up       CMI2-HSI-0662                   
Eth-Trunk35.663               up      up       CMI2-HSI-0663                   
Eth-Trunk35.665               up      up       CMI2-HSI-0665                   
Eth-Trunk35.666               up      up       CMI2-HSI-0666                   
Eth-Trunk35.672               up      up       LPN-HSI-0672                    
Eth-Trunk54                   up      down     MME-4004-31(CMI3)_ETH-54[100G]_OFC
Eth-Trunk54.2802              up      up       MME-4004-31_MPLS                
Eth-Trunk54.2803              up      up       MME-4004-31_MNG                 
Eth-Trunk55                   up      down     MME-4001-36(CMI3)_ETH-55[100G]_OFC
Eth-Trunk55.2802              up      up       MME-4001-36_MPLS                
Eth-Trunk55.2803              up      up       MME-4001-36_MNG                 
Eth-Trunk56                   up      down     MME-4012-31(CMI)_ETH-56[200G]_OFC
Eth-Trunk56.2804              up      up       MME-4012-31_MPLS                
Eth-Trunk56.2805              up      up       MME-4012-31_MNG                 
Eth-Trunk57                   up      down     MME-4001-34(CMI)_ETH-57[200G]_OFC
Eth-Trunk57.2806              up      up       MME-4001-34_MPLS                
Eth-Trunk57.2807              up      up       MME-4001-34_MNG                 
Eth-Trunk58                   up      down     MME-4001-38(CMI2)_ETH-58[200G]_OFC
Eth-Trunk58.2806              up      up       MME-4001-38_MPLS                
Eth-Trunk58.2807              up      up       MME-4001-38_MNG                 
Eth-Trunk59                   up      down     MME-4018-31(CMI2)_ETH-59[200G]_OFC
Eth-Trunk59.2804              up      up       MME-4018-31_MPLS                
Eth-Trunk59.2805              up      up       MME-4018-31_MNG                 
Eth-Trunk64                   up      down     MME-4201-32(LPN)_ETH-63[40G]_WDM
Eth-Trunk64.2800              up      up       MME-4201-32_MPLS                
Eth-Trunk64.2801              up      up       MME-4201-32_MNG                 
Eth-Trunk65                   up      down     MME-4280-20(LPN)_ETH-63[40G]_OFC
Eth-Trunk65.2802              up      up                                       
Eth-Trunk65.2803              up      up                                       
Eth-Trunk66                   up      down     MME-4004-31(CMI)_ETH-63[70G]_OFC&WDM
Eth-Trunk66.2800              up      up       MME-4004-31_MPLS                
Eth-Trunk66.2801              up      up       MME-4004-31_MNG                 
Eth-Trunk67                   up      down     MME-4001-36(CMI)_ETH-63[70G]_OFC&WDM
Eth-Trunk67.2800              up      up       MME-4001-36_MPLS                
Eth-Trunk67.2801              up      up       MME-4001-36_MNG                 
Eth-Trunk68                   up      down     MME-4017-31(CMI)_ETH-68[20G]_WDM
Eth-Trunk68.2808              up      up       MME-4017-31(CMI)_MPLS           
Eth-Trunk68.2809              up      up       MME-4017-31(CMI)_MNG            
Eth-Trunk69                   up      down     MME-4302-31(MHN)_ETH-69[20G]_WDM
Eth-Trunk69.2810              up      up       MME-4302-31(MHN)_MPLS           
Eth-Trunk69.2811              up      up       MME-4302-31(MHN)_MNG            
GE0/0/0                       down    down                                     
GE4/0/0(10G)                  up      up       MME-4001-36(CMI)_link1_0/6/6(2nd)_OFC
GE4/0/1(10G)                  up      up       MME-4001-36(CMI)_link2_0/5/7(3rd)_OFC
GE4/0/2(10G)                  up      up       MME-4001-36(CMI)_link4_0/5/8_OFC
GE4/0/3(10G)                  up      up       MME-4001-36(CMI)_link6_0/5/9_WDM
GE4/0/4(10G)                  up      up       BS-CMIBS07(LPN)_link3_5/1/0_PC  
