1422-3366-9bcb,CMI1-1014-0410-0004,-,-,Eth-Trunk14.410,dynamic,0/0,410
0025-9e6f-2580,CMI1-1072-2991-0004,-,-,GE0/6/3.2991,dynamic,0/0,2991
5439-df15-3930,CMI1-1072-2991-0004,-,-,GE0/6/2.2991,dynamic,0/0,2991
80d4-a5ab-a0c4,CMI1-LL-INTER-0962-0000,-,-,Eth-Trunk0,dynamic,0/4096,nan
bcc0-0f92-0909,CMI1-1014-0410-0004,-,-,Eth-Trunk12.410,dynamic,0/0,410
38ed-18b5-7d41,CMI1-1015-0030-0000,-,-,GE0/5/3.30,dynamic,0/0,30
1422-3364-9369,CMI1-1014-0410-0004,-,-,Eth-Trunk12.410,dynamic,0/0,410
cc50-0ac5-a208,CMI1-1014-0410-0004,-,-,Eth-Trunk14.410,dynamic,0/0,410
80d4-a5ab-a0c4,CMI1-1015-0031-0000,-,-,Eth-Trunk0,dynamic,0/4096,nan
80d4-a5ab-a0c4,CMI1-600415-2878-0000,-,-,Eth-Trunk0,dynamic,0/4096,nan
001e-589f-6fa6,CMI1-1015-0030-0000,-,-,GE0/5/2.30,dynamic,0/0,30
80d4-a5ab-a0c4,CMI1-610027-3561-0326,-,-,Eth-Trunk0,dynamic,0/4096,nan
80d4-a5ab-a0c4,CMI1-600612-3000-3018,-,-,Eth-Trunk0,dynamic,0/4096,nan
cc50-0ae5-1c98,CMI1-1014-0410-0004,-,-,Eth-Trunk10.410,dynamic,0/0,410
000e-5e9c-2c3d,CMI1-1015-0031-0000,-,-,GE0/5/7.31,dynamic,0/0,31
0026-9986-5521,CMI1-3BB-LL-0807-0000,-,-,GE0/5/8.807,dynamic,0/0,807
80d4-a5ab-a0c4,CMI1-600236-3528-0210,-,-,Eth-Trunk0,dynamic,0/4096,nan
1422-3363-9ae4,CMI1-1014-0410-0004,-,-,Eth-Trunk10.410,dynamic,0/0,410
b869-f47f-6765,CMI1-600042-2887-0000,-,-,GE0/6/4.2887,dynamic,0/0,2887
0025-9e6f-25e4,CMI1-1072-2991-0004,-,-,Eth-Trunk12.2991,dynamic,0/0,2991
7072-cf9d-a494,CMI1-1015-0031-0000,-,-,GE0/5/1.31,dynamic,0/0,31
cc50-0ada-fa19,CMI1-1014-0410-0004,-,-,Eth-Trunk14.410,dynamic,0/0,410
0027-0d4e-5595,CMI1-600236-3561-0403,3561,403,GE0/6/5.3001,dynamic,0/0,3001
28c7-cea7-dd87,CMI1-610027-3561-0326,3561,326,GE0/6/5.3000,dynamic,0/0,3000
80d4-a5ab-a0c4,CMI1-3BB-LL-0807-0000,-,-,Eth-Trunk0,dynamic,0/4096,nan
80d4-a5ab-a0c4,CMI1-3BB-LL-0961-0000,-,-,Eth-Trunk0,dynamic,0/4096,nan
0462-735e-b101,CMI1-3BB-LL-0961-0000,-,-,GE0/5/7.961,dynamic,0/0,961
80d4-a5ab-a0c4,CMI1-3BB-LL-0954-0000,-,-,Eth-Trunk0,dynamic,0/4096,nan
80d4-a5ab-a0c4,CMI1-610066-0896-0000,-,-,Eth-Trunk0,dynamic,0/4096,nan
80d4-a5ab-a0c4,CMI1-1015-0030-0000,-,-,Eth-Trunk0,dynamic,0/4096,nan
80d4-a5ab-a0c4,CMI1-600236-3561-0403,-,-,Eth-Trunk0,dynamic,0/4096,nan
80d4-a5ab-a0c4,CMI1-1072-2992-0004,-,-,Eth-Trunk0,dynamic,0/4096,nan
80d4-a5ab-a0c4,CMI1-600042-2887-0000,-,-,Eth-Trunk0,dynamic,0/4096,nan
cc50-0ac3-d558,CMI1-1014-0410-0004,-,-,Eth-Trunk12.410,dynamic,0/0,410
80d4-a5ab-a0c4,CMI1-1014-0410-0004,-,-,Eth-Trunk0,dynamic,0/4096,nan
38ed-18b5-7d47,CMI1-610066-0896-0000,-,-,GE0/5/3.896,dynamic,0/0,896
80d4-a5ab-a0c4,CMI1-600366-0859-0000,-,-,Eth-Trunk0,dynamic,0/4096,nan
80d4-a5ab-a0c4,CMI1-600592-0912-0000,-,-,Eth-Trunk0,dynamic,0/4096,nan
80d4-a5ab-a0c4,CMI1-1082-0025-0000,-,-,Eth-Trunk0,dynamic,0/4096,nan
0025-9e6f-252a,CMI1-1072-2991-0004,-,-,Eth-Trunk10.2991,dynamic,0/0,2991
0025-9e6f-252a,CMI1-1072-2992-0004,-,-,Eth-Trunk10.2992,dynamic,0/0,2992
0025-9e6f-261e,CMI1-1072-2991-0004,-,-,GE0/6/2.2991,dynamic,0/0,2991
cc50-0ae5-1d82,CMI1-1014-0410-0004,-,-,Eth-Trunk11.410,dynamic,0/0,410
5439-df15-3930,CMI1-1072-2992-0004,-,-,GE0/6/2.2992,dynamic,0/0,2992
